"site.id","constituent","Month","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","NO3","2005-11",30,2365249.12052851,406657.85601595,1668267.24850106,3257140.48560417,30,2336996.79275153,419298.440458842,1622792.0078005,3260569.3050672,30,2444363.41280345,NA,NA,NA,30,2316542.86140911,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-12",31,2438454.45716727,419441.357919522,1719610.67034773,3358425.84293411,31,2499220.38328733,465145.364957675,1711321.3176132,3527675.30537595,31,4013511.90426915,NA,NA,NA,31,4118194.6328558,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-01",31,3043429.746099,534752.031584047,2129763.19069908,4218811.25143274,31,2737984.65221509,478819.635435245,1919322.8893139,3789927.90397992,31,2849545.4718799,NA,NA,NA,31,4014304.31989124,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-02",28,3513001.57957463,621986.135300858,2451472.53552846,4881177.30028891,28,2956516.60649587,525436.221080656,2060263.94548221,4112754.73204433,28,933677.676382261,NA,NA,NA,28,851618.76422901,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-03",31,3421523.30099275,576993.739509529,2429904.56729335,4684589.67338249,31,2979591.75183639,510777.875588627,2103790.48785087,4099515.11824349,31,2001332.30495485,NA,NA,NA,31,2097902.37581872,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-04",30,2798332.77245704,479695.246242259,1975824.61053546,3850102.64508698,30,2533316.4965073,453394.498324131,1760749.66804634,3531737.75794999,30,2187235.73115968,NA,NA,NA,30,2037800.5652588,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-05",31,2117778.5023129,381890.41067896,1467782.17526768,2959389.05194619,31,1834002.05484901,357492.609865722,1232886.51331494,2628336.57003607,31,1792901.91651142,NA,NA,NA,31,1843956.0404782,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-06",30,2109820.26388968,370038.25612613,1477413.57109557,2923013.35801665,30,1729104.23870877,327955.071660632,1175229.83145489,2455674.3309775,30,1879173.76327903,NA,NA,NA,30,1958046.80525212,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-07",31,2113768.86224138,361156.97905427,1494224.14079116,2905376.82406295,31,1641731.5826135,308524.02998151,1119916.83420861,2324585.54577082,31,1982558.22179888,NA,NA,NA,31,1959150.43508346,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-08",31,1974222.92727478,340258.810503865,1391246.85138983,2720667.43334026,31,1390535.75600749,280733.296725585,921233.079192945,2016715.43362573,31,1946723.46900408,NA,NA,NA,31,1860846.18559677,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-09",30,1991885.14532537,344503.728805806,1401930.26456236,2747904.6230786,30,1436252.07481543,286000.847692816,957037.179349761,2073214.42595895,30,1677940.56232881,NA,NA,NA,30,1483358.52587333,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-10",31,2639087.55021079,447676.56078392,1870345.26964391,3619638.89604616,31,2486924.93117038,442123.635609544,1732817.2723326,3459863.39503867,31,1806895.92613178,NA,NA,NA,31,1819079.93510841,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-11",30,2398745.28958845,407658.680041939,1698902.19789118,3291807.13659539,30,2253702.7759183,414011.377354302,1551008.96777378,3167851.64988483,30,2010831.71684796,NA,NA,NA,30,1997807.04609995,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2006-12",31,2909550.007853,483719.839178566,2076595.47809953,3966968.92504008,31,2955040.84982629,540979.923311283,2036362.75099181,4149112.16815015,31,2768181.24372029,NA,NA,NA,31,3311181.41370101,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2007-01",31,6292178.14095892,1366601.13441063,4036844.57801226,9365739.91146615,31,3838978.39163477,1027037.10925799,2215153.9154817,6208779.24386356,31,6776235.85014751,NA,NA,NA,31,10258228.7939554,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2007-02",28,4661441.49032778,854431.735073919,3210742.05401697,6547618.55487237,28,3504844.834277,681053.144386111,2359088.45035201,5017607.84425491,28,5861882.12598873,NA,NA,NA,28,6477946.74606243,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
