"date","Q_m3s","CODIGO_ESTACAO"
"2013-10-19",5.82136992410282,"ORIZ02900"
"2013-10-20",6.18054803125743,"ORIZ02900"
"2013-10-21",6.4151018778408,"ORIZ02900"
"2013-10-22",5.6135744426649,"ORIZ02900"
"2013-10-23",5.1647156471022,"ORIZ02900"
"2013-10-24",4.85278569387462,"ORIZ02900"
"2013-10-25",4.80901369616983,"ORIZ02900"
"2013-10-26",4.60837103811562,"ORIZ02900"
"2013-10-27",4.52020534421773,"ORIZ02900"
"2013-10-28",4.30676614293533,"ORIZ02900"
"2013-10-29",4.1326535321513,"ORIZ02900"
"2013-10-30",4.02786024438528,"ORIZ02900"
"2013-10-31",3.77855263374964,"ORIZ02900"
"2013-11-01",3.68842912784325,"ORIZ02900"
"2013-11-02",3.60565750801551,"ORIZ02900"
"2013-11-03",3.58884755851672,"ORIZ02900"
"2013-11-04",3.64141061405814,"ORIZ02900"
"2013-11-05",4.23896211590864,"ORIZ02900"
"2013-11-06",5.53206953928349,"ORIZ02900"
"2013-11-07",7.41184874178852,"ORIZ02900"
"2013-11-08",8.77599126527137,"ORIZ02900"
"2013-11-09",8.39267480123189,"ORIZ02900"
"2013-11-10",7.13910080738397,"ORIZ02900"
"2013-11-11",6.51061592028376,"ORIZ02900"
"2013-11-12",5.87121713916487,"ORIZ02900"
"2013-11-13",4.85592161278019,"ORIZ02900"
"2013-11-14",4.53408617252609,"ORIZ02900"
"2013-11-15",4.30482965308911,"ORIZ02900"
"2013-11-16",4.25073625397634,"ORIZ02900"
"2013-11-17",4.18494643398647,"ORIZ02900"
"2013-11-18",4.19596423325305,"ORIZ02900"
"2013-11-19",4.42260080633923,"ORIZ02900"
"2013-11-20",4.78870794214595,"ORIZ02900"
"2013-11-21",5.12073273512328,"ORIZ02900"
"2013-11-22",5.2750022820974,"ORIZ02900"
"2013-11-23",5.02866626918875,"ORIZ02900"
"2013-11-24",4.80509438449485,"ORIZ02900"
"2013-11-25",4.59110031614499,"ORIZ02900"
"2013-11-26",4.83509417014865,"ORIZ02900"
"2013-11-27",5.17463789020899,"ORIZ02900"
"2013-11-28",5.57517465744723,"ORIZ02900"
"2013-11-29",5.72094732052142,"ORIZ02900"
"2013-11-30",5.70142729521628,"ORIZ02900"
"2013-12-01",5.53679225448187,"ORIZ02900"
"2013-12-02",5.86430596376706,"ORIZ02900"
"2013-12-03",5.99296180551033,"ORIZ02900"
"2013-12-04",6.22110523188323,"ORIZ02900"
"2013-12-05",6.38747495145843,"ORIZ02900"
"2013-12-06",6.13088436110344,"ORIZ02900"
"2013-12-07",5.81935823955276,"ORIZ02900"
"2013-12-08",5.67050451868424,"ORIZ02900"
"2013-12-09",5.46091230978445,"ORIZ02900"
"2013-12-10",5.67243348373267,"ORIZ02900"
"2013-12-11",6.12594274325072,"ORIZ02900"
"2013-12-12",6.71481010743072,"ORIZ02900"
"2013-12-13",7.08873955117028,"ORIZ02900"
"2013-12-14",6.94460682150395,"ORIZ02900"
"2013-12-15",6.51557343321638,"ORIZ02900"
"2013-12-16",6.03386101903323,"ORIZ02900"
"2013-12-17",5.53086176078195,"ORIZ02900"
"2013-12-18",4.75210419795352,"ORIZ02900"
"2013-12-19",4.51279338475543,"ORIZ02900"
"2013-12-20",4.43338621914708,"ORIZ02900"
"2013-12-21",4.4535900064611,"ORIZ02900"
"2013-12-22",4.53735139103287,"ORIZ02900"
"2013-12-23",4.88047761201954,"ORIZ02900"
"2013-12-24",5.29422656510909,"ORIZ02900"
"2013-12-25",5.6559000685774,"ORIZ02900"
"2013-12-26",5.79017261576204,"ORIZ02900"
"2013-12-27",5.59896065052657,"ORIZ02900"
"2013-12-28",5.7438877438057,"ORIZ02900"
"2013-12-29",6.12401348713281,"ORIZ02900"
"2013-12-30",6.23070613298156,"ORIZ02900"
"2013-12-31",6.59830604934744,"ORIZ02900"
"2014-01-01",7.06278402048506,"ORIZ02900"
"2014-01-02",7.30355150406113,"ORIZ02900"
"2014-01-03",7.43499539375515,"ORIZ02900"
"2014-01-04",6.93619353982752,"ORIZ02900"
"2014-01-05",6.33143011919024,"ORIZ02900"
"2014-01-06",5.90236004231983,"ORIZ02900"
"2014-01-07",5.49769319320131,"ORIZ02900"
"2014-01-08",5.11247224600625,"ORIZ02900"
"2014-01-09",4.72150114613711,"ORIZ02900"
"2014-01-10",4.25573995281642,"ORIZ02900"
"2014-01-11",4.020373383566,"ORIZ02900"
"2014-01-12",3.88597212378187,"ORIZ02900"
"2014-01-13",3.99283794655611,"ORIZ02900"
"2014-01-14",4.0757463367307,"ORIZ02900"
"2014-01-15",4.19758059976329,"ORIZ02900"
"2014-01-16",4.64240983891841,"ORIZ02900"
"2014-01-17",4.81554552679666,"ORIZ02900"
"2014-01-18",4.88725794553007,"ORIZ02900"
"2014-01-19",4.88405804775582,"ORIZ02900"
"2014-01-20",4.80335630812401,"ORIZ02900"
"2014-01-21",4.46887691627043,"ORIZ02900"
"2014-01-22",4.19262770365537,"ORIZ02900"
"2014-01-23",3.87416134408784,"ORIZ02900"
"2014-01-24",3.94290202534555,"ORIZ02900"
"2014-01-25",4.22808620833698,"ORIZ02900"
"2014-01-26",4.53417346593604,"ORIZ02900"
"2014-01-27",4.53395550281707,"ORIZ02900"
"2014-01-28",4.34134790963031,"ORIZ02900"
"2014-01-29",4.30632500280866,"ORIZ02900"
"2014-01-30",3.82310178123363,"ORIZ02900"
"2014-01-31",3.49931769382848,"ORIZ02900"
"2014-02-01",3.28394862727578,"ORIZ02900"
"2014-02-02",3.12551861507932,"ORIZ02900"
"2014-02-03",2.92693610433883,"ORIZ02900"
"2014-02-04",2.84110487859709,"ORIZ02900"
"2014-02-05",2.73981262856404,"ORIZ02900"
"2014-02-06",2.69636501892512,"ORIZ02900"
"2014-02-07",2.63497862025008,"ORIZ02900"
"2014-02-08",2.49552169238004,"ORIZ02900"
"2014-02-09",2.43580228141318,"ORIZ02900"
"2014-02-10",2.44235285688493,"ORIZ02900"
"2014-02-11",2.42938493848144,"ORIZ02900"
"2014-02-12",2.43145270622103,"ORIZ02900"
"2014-02-13",2.37409437829844,"ORIZ02900"
"2014-02-14",2.32534428220097,"ORIZ02900"
"2014-02-15",2.45406787967008,"ORIZ02900"
"2014-02-16",2.74865193539156,"ORIZ02900"
"2014-02-17",2.91006405155444,"ORIZ02900"
"2014-02-18",3.13353238465309,"ORIZ02900"
"2014-02-19",3.31306893965637,"ORIZ02900"
"2014-02-20",3.34801073727612,"ORIZ02900"
"2014-02-21",3.42982499497512,"ORIZ02900"
"2014-02-22",3.26733758842358,"ORIZ02900"
"2014-02-23",3.14789752311156,"ORIZ02900"
"2014-02-24",3.08537221400883,"ORIZ02900"
"2014-02-25",3.07709473808014,"ORIZ02900"
"2014-02-26",3.18489057141447,"ORIZ02900"
"2014-02-27",3.34322179032126,"ORIZ02900"
"2014-02-28",3.37337309246603,"ORIZ02900"
"2014-03-01",3.50644601099335,"ORIZ02900"
"2014-03-02",3.66148364841519,"ORIZ02900"
"2014-03-03",3.747714298342,"ORIZ02900"
"2014-03-04",3.66513898813581,"ORIZ02900"
"2014-03-05",3.6809516493577,"ORIZ02900"
"2014-03-06",3.74534941105778,"ORIZ02900"
"2014-03-07",3.78622076087397,"ORIZ02900"
"2014-03-08",3.50870414689718,"ORIZ02900"
"2014-03-09",3.41708210571716,"ORIZ02900"
"2014-03-10",3.42429960836237,"ORIZ02900"
"2014-03-11",3.40811196754864,"ORIZ02900"
"2014-03-12",3.42320750640645,"ORIZ02900"
"2014-03-13",3.6523218382231,"ORIZ02900"
"2014-03-14",3.80695330576872,"ORIZ02900"
"2014-03-15",3.56289147091816,"ORIZ02900"
"2014-03-16",3.3323898749781,"ORIZ02900"
"2014-03-17",3.10404342585373,"ORIZ02900"
"2014-03-18",3.00717356707365,"ORIZ02900"
"2014-03-19",3.00717358647345,"ORIZ02900"
"2014-03-20",2.94025179449422,"ORIZ02900"
"2014-03-21",3.02467222438976,"ORIZ02900"
"2014-03-22",3.35653738229734,"ORIZ02900"
"2014-03-23",3.57620690896477,"ORIZ02900"
"2014-03-24",3.77675519313518,"ORIZ02900"
"2014-03-25",3.69824798806067,"ORIZ02900"
"2014-03-26",3.47594078326777,"ORIZ02900"
"2014-03-27",3.38651087317534,"ORIZ02900"
"2014-03-28",3.22751821146399,"ORIZ02900"
"2014-03-29",3.05450152880952,"ORIZ02900"
"2014-03-30",2.96360460138407,"ORIZ02900"
"2014-03-31",2.88321022671956,"ORIZ02900"
"2014-04-01",3.02852316975159,"ORIZ02900"
"2014-04-02",3.04761560813815,"ORIZ02900"
"2014-04-03",3.03150361512642,"ORIZ02900"
"2014-04-04",3.06288572679793,"ORIZ02900"
"2014-04-05",3.19199129785979,"ORIZ02900"
"2014-04-06",3.20461398110078,"ORIZ02900"
"2014-04-07",3.18077075112535,"ORIZ02900"
"2014-04-08",3.06648221812837,"ORIZ02900"
"2014-04-09",2.94984695502551,"ORIZ02900"
"2014-04-10",2.76658019271774,"ORIZ02900"
